panel,model,probability,decile,mean_predicted,observed_fraction,threshold,net_benefit_raw,net_benefit_platt,treat_all,treat_none
a_calibration,Logistic,raw,1.0,0.058197810176314285,0.0035211267605633804,,,,,
a_calibration,Logistic,raw,2.0,0.126966371143273,0.028268551236749116,,,,,
a_calibration,Logistic,raw,3.0,0.18981401600665068,0.045936395759717315,,,,,
a_calibration,Logistic,raw,4.0,0.25905060403543895,0.06007067137809187,,,,,
a_calibration,Logistic,raw,5.0,0.33161650223721806,0.06007067137809187,,,,,
a_calibration,Logistic,raw,6.0,0.4033760849379978,0.10954063604240283,,,,,
a_calibration,Logistic,raw,7.0,0.4853507100283882,0.13780918727915195,,,,,
a_calibration,Logistic,raw,8.0,0.5910851545966133,0.2049469964664311,,,,,
a_calibration,Logistic,raw,9.0,0.707242591536646,0.2791519434628975,,,,,
a_calibration,Logistic,raw,10.0,0.866605544130987,0.4471830985915493,,,,,
a_calibration,Logistic,platt,1.0,0.014893179752476686,0.0035211267605633804,,,,,
a_calibration,Logistic,platt,2.0,0.0304343876351693,0.028268551236749116,,,,,
a_calibration,Logistic,platt,3.0,0.045071197247811105,0.045936395759717315,,,,,
a_calibration,Logistic,platt,4.0,0.06247150828775578,0.05653710247349823,,,,,
a_calibration,Logistic,platt,5.0,0.08247737691452034,0.0636042402826855,,,,,
a_calibration,Logistic,platt,6.0,0.10528850719292368,0.10247349823321555,,,,,
a_calibration,Logistic,platt,7.0,0.1358925382306112,0.14487632508833923,,,,,
a_calibration,Logistic,platt,8.0,0.18587238813892917,0.20141342756183744,,,,,
a_calibration,Logistic,platt,9.0,0.26421341998942904,0.2826855123674912,,,,,
a_calibration,Logistic,platt,10.0,0.480425621129623,0.4471830985915493,,,,,
a_calibration,RandomForest,raw,1.0,0.043408849171743646,0.0035211267605633804,,,,,
a_calibration,RandomForest,raw,2.0,0.0915739123913372,0.038869257950530034,,,,,
a_calibration,RandomForest,raw,3.0,0.13463671100624344,0.045936395759717315,,,,,
a_calibration,RandomForest,raw,4.0,0.1784163587970831,0.053003533568904596,,,,,
a_calibration,RandomForest,raw,5.0,0.22669084467732203,0.06713780918727916,,,,,
a_calibration,RandomForest,raw,6.0,0.2804705561951177,0.06713780918727916,,,,,
a_calibration,RandomForest,raw,7.0,0.3468387126848756,0.13780918727915195,,,,,
a_calibration,RandomForest,raw,8.0,0.4215044588574868,0.21908127208480566,,,,,
a_calibration,RandomForest,raw,9.0,0.5189009976635462,0.28975265017667845,,,,,
a_calibration,RandomForest,raw,10.0,0.6669770181776447,0.45422535211267606,,,,,
a_calibration,RandomForest,platt,1.0,0.027620517639362678,0.0035211267605633804,,,,,
a_calibration,RandomForest,platt,2.0,0.036028376183229086,0.045936395759717315,,,,,
a_calibration,RandomForest,platt,3.0,0.0451893056074304,0.0353356890459364,,,,,
a_calibration,RandomForest,platt,4.0,0.05752482317155273,0.0636042402826855,,,,,
a_calibration,RandomForest,platt,5.0,0.07354567297028254,0.053003533568904596,,,,,
a_calibration,RandomForest,platt,6.0,0.09757969502845107,0.08833922261484099,,,,,
a_calibration,RandomForest,platt,7.0,0.13287763963721425,0.1413427561837456,,,,,
a_calibration,RandomForest,platt,8.0,0.19105147438687398,0.20848056537102475,,,,,
a_calibration,RandomForest,platt,9.0,0.28736913456608437,0.2756183745583039,,,,,
a_calibration,RandomForest,platt,10.0,0.4805322958969671,0.4612676056338028,,,,,
a_calibration,XGBoost,raw,1.0,0.08925631523630778,0.007042253521126761,,,,,
a_calibration,XGBoost,raw,2.0,0.1549779853846075,0.024734982332155476,,,,,
a_calibration,XGBoost,raw,3.0,0.21759511551461033,0.03180212014134275,,,,,
a_calibration,XGBoost,raw,4.0,0.2804212630216309,0.07420494699646643,,,,,
