rank,feature,label,mean_abs_shap,shap_min,shap_max
1,r1shlt,Self-rated health,0.3136368,-0.929115,0.88428074
2,r1arthre,Arthritis,0.3071521,-0.43633708,0.55416507
3,ragender,Sex (female),0.18039237,-0.31573445,0.19914801
4,r1orient,Orientation (cognitive),0.16257948,-0.3005756,0.20773192
5,hh1ahous,Housing assets,0.15205643,-0.6509742,0.25844628
6,r1adla_c,ADL limitations,0.1396604,-0.13915624,0.7671157
7,r1walk1kma,Difficulty walking 1km,0.12980524,-0.13179037,0.62688315
8,r1tr20,Word recall (cognitive),0.12548964,-1.2019256,0.14060344
9,r1gripsum,Grip strength,0.116250806,-0.50309956,0.36281097
10,r1ser7,Serial 7s (cognitive),0.09008881,-0.24710345,0.20281005
11,h1rural,Rural residence,0.088245235,-0.21404225,0.091829054
12,r1mbmi,BMI,0.06787842,-0.37056327,0.22659183
13,raeduc_c,Education level,0.061521962,-0.21418497,0.102813244
14,r1agey,Age,0.05572666,-0.6455811,0.0967626
15,r1mstat_7.0,Marital status: widowed,0.052987266,-0.05480395,0.43509394
16,r1hearte,Heart disease,0.047917,-0.048047632,0.25300822
17,r1socwk,Social activity,0.041382674,-0.12716338,0.07755746
18,r1lunge,Lung disease,0.018516807,-0.029352248,0.13807589
19,r1work,Currently working,0.014708864,-0.020930534,0.038325235
20,r1drinkev,Ever drinker,0.011429506,-0.03202645,0.018524447
