model,probability,threshold,net_benefit,treat_all,treat_none
Logistic,raw,0.05,0.09418673803151946,0.09232827832292595,0
Logistic,platt,0.05,0.10011522450193279,0.09232827832292595,0
Logistic,raw,0.1,0.0532015065913371,0.04190207156308849,0
Logistic,platt,0.1,0.07603578154425612,0.04190207156308849,0
Logistic,raw,0.138,0.022491545086318763,-0.00033426402925795795,0
Logistic,platt,0.138,0.061502942834296796,-0.00033426402925795795,0
Logistic,raw,0.2,-0.01844985875706215,-0.07786016949152547,0
Logistic,platt,0.2,0.04007768361581921,-0.07786016949152547,0
Logistic,raw,0.3,-0.07743139628732851,-0.2318401937046005,0
Logistic,platt,0.3,0.02093422114608555,-0.2318401937046005,0
Logistic,raw,0.4,-0.11440677966101699,-0.43714689265536744,0
Logistic,platt,0.4,0.011181732580037662,-0.43714689265536744,0
Logistic,raw,0.5,-0.1370056497175141,-0.7245762711864407,0
Logistic,platt,0.5,0.00211864406779661,-0.7245762711864407,0
RandomForest,raw,0.05,0.09548765982753495,0.09232827832292595,0
RandomForest,platt,0.05,0.09892581028843293,0.09232827832292595,0
RandomForest,raw,0.1,0.05708568738229756,0.04190207156308849,0
RandomForest,platt,0.1,0.07580037664783427,0.04190207156308849,0
RandomForest,raw,0.138,0.03244327342797592,-0.00033426402925795795,0
RandomForest,platt,0.138,0.06376332140469543,-0.00033426402925795795,0
RandomForest,raw,0.2,0.0030896892655367233,-0.07786016949152547,0
RandomForest,platt,0.2,0.0457274011299435,-0.07786016949152547,0
RandomForest,raw,0.3,-0.01871468926553674,-0.2318401937046005,0
RandomForest,platt,0.3,0.021943099273607748,-0.2318401937046005,0
RandomForest,raw,0.4,-0.03283898305084748,-0.43714689265536744,0
RandomForest,platt,0.4,0.011652542372881356,-0.43714689265536744,0
RandomForest,raw,0.5,-0.037782485875706213,-0.7245762711864407,0
RandomForest,platt,0.5,0.006709039548022599,-0.7245762711864407,0
XGBoost,raw,0.05,0.0926256318763009,0.09232827832292595,0
XGBoost,platt,0.05,0.10057983942908119,0.09232827832292595,0
XGBoost,raw,0.1,0.048924984306340236,0.04190207156308849,0
XGBoost,platt,0.1,0.07784055241682361,0.04190207156308849,0
XGBoost,raw,0.138,0.018462352694430233,-0.00033426402925795795,0
XGBoost,platt,0.138,0.0637616828555324,-0.00033426402925795795,0
XGBoost,raw,0.2,-0.02736581920903955,-0.07786016949152547,0
XGBoost,platt,0.2,0.04731638418079096,-0.07786016949152547,0
XGBoost,raw,0.3,-0.08635996771589992,-0.2318401937046005,0
XGBoost,platt,0.3,0.02315375302663439,-0.2318401937046005,0
XGBoost,raw,0.4,-0.12205743879472696,-0.43714689265536744,0
XGBoost,platt,0.4,0.010946327683615814,-0.43714689265536744,0
XGBoost,raw,0.5,-0.1338276836158192,-0.7245762711864407,0
XGBoost,platt,0.5,0.0049435028248587575,-0.7245762711864407,0
