fold,model,auc,sensitivity,specificity,f1,brier
1,Logistic,0.7866685945633315,0.7197802197802198,0.7070175438596491,0.40494590417310666,0.19181725222748064
1,RandomForest,0.7939608636977058,0.44505494505494503,0.8894736842105263,0.41645244215938304,0.12828732926162909
1,XGBoost,0.7925824175824175,0.7032967032967034,0.7157894736842105,0.4037854889589905,0.18078862130641937
2,Logistic,0.7742771197052347,0.7049180327868853,0.7181738366988587,0.4075829383886256,0.18997572538780658
2,RandomForest,0.7559598343864093,0.3989071038251366,0.8946444249341527,0.3882978723404255,0.13162393950282078
2,XGBoost,0.7532155999174811,0.6721311475409836,0.7155399473222125,0.3904761904761905,0.18406015634536743
3,Logistic,0.8068191685399763,0.6978021978021978,0.7269534679543459,0.4096774193548387,0.18130878999088232
3,RandomForest,0.8002440930447954,0.4340659340659341,0.8990342405618964,0.42021276595744683,0.12443923403498149
3,XGBoost,0.8121448349718761,0.6978021978021978,0.7515364354697103,0.42905405405405406,0.17371979355812073
4,Logistic,0.8160811971171936,0.7417582417582418,0.7322212467076383,0.4340836012861736,0.17833598331625702
4,RandomForest,0.8101863018456521,0.46703296703296704,0.9060579455662863,0.45454545454545453,0.12293605059525116
4,XGBoost,0.8165153547067506,0.7582417582417582,0.7374890254609306,0.4458804523424879,0.17403793334960938
5,Logistic,0.7857384055803722,0.6978021978021978,0.7322212467076383,0.41368078175895767,0.18302203597254946
5,RandomForest,0.7858590049108047,0.489010989010989,0.8911325724319579,0.4506329113924051,0.12608747477887228
5,XGBoost,0.7873206687956468,0.6923076923076923,0.7366110623353819,0.4144736842105263,0.1782315969467163
