feature,mean_abs_shap
r1shlt,0.3136368
r1arthre,0.3071521
ragender,0.18039237
r1orient,0.16257948
hh1ahous,0.15205643
r1adla_c,0.1396604
r1walk1kma,0.12980524
r1tr20,0.12548964
r1gripsum,0.116250806
r1ser7,0.09008881
h1rural,0.088245235
r1mbmi,0.06787842
raeduc_c,0.061521962
r1agey,0.05572666
r1mstat_7.0,0.052987266
r1hearte,0.047917
r1socwk,0.041382674
r1lunge,0.018516807
r1work,0.014708864
r1drinkev,0.011429506
r1mstat_3.0,0.006884561
r1dyslipe,0.004753678
r1gripsum_miss,0.002326861
r1smoken,0.0010718042
r1mstat_8.0,0.0008566102
r1mstat_5.0,0.0007384604
r1hibpe,0.00073409866
r1stroke,0.00064292434
r1mbmi_miss,0.0006139225
r1walk100a,0.00047818272
r1cancre,0.00017028672
r1diabe,0.00013638698
r1mstat_4.0,0.0
