fold,model,auc,sensitivity,specificity,f1,brier
1,Logistic,0.788557732946004,0.7267080745341615,0.6881998277347114,0.365625,0.1953925885402326
1,RandomForest,0.7775744833378808,0.36024844720496896,0.917312661498708,0.3682539682539683,0.12173604429373897
1,XGBoost,0.7798963198356524,0.6956521739130435,0.7123169681309216,0.36902800658978585,0.18696041405200958
2,Logistic,0.7520503314234355,0.6583850931677019,0.689922480620155,0.33811802232854865,0.2016633959915374
2,RandomForest,0.7478453464297751,0.3167701863354037,0.9086993970714901,0.32075471698113206,0.12688988361273565
2,XGBoost,0.7591174881366994,0.6956521739130435,0.6907838070628768,0.35443037974683544,0.1926010251045227
3,Logistic,0.7543873815676142,0.65,0.7200689061154177,0.3531409168081494,0.1935186334271333
3,RandomForest,0.7565891472868217,0.3125,0.9233419465977606,0.33444816053511706,0.12068079281658592
3,XGBoost,0.7604597329888028,0.65625,0.7278208440999139,0.3614457831325301,0.18338070809841156
4,Logistic,0.7273184836153352,0.6335403726708074,0.7,0.33387888707037644,0.19945762096690772
4,RandomForest,0.7150246305418719,0.2670807453416149,0.9112068965517242,0.28013029315960913,0.12943156451877605
4,XGBoost,0.7222370957378454,0.6149068322981367,0.7112068965517241,0.33277310924369746,0.18978165090084076
5,Logistic,0.7923377596915828,0.7639751552795031,0.7043103448275863,0.3923444976076555,0.19346186650277805
5,RandomForest,0.7720229171128721,0.32919254658385094,0.9318965517241379,0.36177474402730375,0.12064077138811821
5,XGBoost,0.7808684943242665,0.7267080745341615,0.6974137931034483,0.37201907790143085,0.18580323457717896
