feature,mean_abs_shap
r1arthre,0.32138494
ragender,0.2538532
r1shlt,0.19631396
raeduc_c,0.1446069
hh1ahous,0.12802391
r1walk1kma,0.120114684
r1adla_c,0.112374485
r1orient,0.10666314
r1ser7,0.106538825
r1gripsum,0.1034647
r1socwk,0.08434589
h1rural,0.0756805
r1tr20,0.069776654
r1hearte,0.05388185
r1agey,0.04005196
r1mbmi,0.03310287
r1dyslipe,0.018409224
r1mstat_7.0,0.0131291915
r1hibpe,0.011032146
r1drinkev,0.010087674
r1lunge,0.0042614783
r1diabe,0.0025663555
r1stroke,0.002000922
r1walk100a,0.0019191738
r1mstat_3.0,0.0018612617
r1smoken,0.0017989828
r1work,0.0017505243
r1mstat_8.0,0.0015488466
r1gripsum_miss,0.00070047507
r1mbmi_miss,0.0002689432
r1mstat_5.0,3.7926366e-05
r1cancre,0.0
r1mstat_4.0,0.0
