model,threshold,n_flagged,pct_flagged,sensitivity,ppv
Logistic,0.05,2633,92.9731638418079,0.9934747145187602,0.23129510064565134
Logistic,0.1,2090,73.79943502824858,0.9429037520391517,0.276555023923445
Logistic,0.138,1676,59.18079096045198,0.866231647634584,0.3168257756563246
Logistic,0.2,1182,41.73728813559322,0.7275693311582382,0.377326565143824
Logistic,0.3,691,24.399717514124294,0.5301794453507341,0.4703328509406657
Logistic,0.4,364,12.85310734463277,0.3262642740619902,0.5494505494505495
Logistic,0.5,194,6.850282485875706,0.18923327895595432,0.5979381443298969
RandomForest,0.05,2762,97.52824858757062,0.99836867862969,0.22157856625633598
RandomForest,0.1,2004,70.76271186440678,0.9200652528548124,0.281437125748503
RandomForest,0.138,1564,55.225988700564976,0.8384991843393148,0.32864450127877237
RandomForest,0.2,1112,39.26553672316384,0.6916802610114192,0.381294964028777
RandomForest,0.3,697,24.611581920903955,0.5154975530179445,0.4533715925394548
RandomForest,0.4,438,15.466101694915254,0.3768352365415987,0.5273972602739726
RandomForest,0.5,232,8.192090395480225,0.2267536704730832,0.5991379310344828
XGBoost,0.05,2676,94.49152542372882,0.99836867862969,0.22869955156950672
XGBoost,0.1,1933,68.25564971751412,0.9070146818923328,0.2876357992757372
XGBoost,0.138,1548,54.66101694915254,0.8303425774877651,0.32881136950904394
XGBoost,0.2,1157,40.8545197740113,0.7194127243066885,0.3811581676750216
XGBoost,0.3,757,26.73022598870056,0.5513866231647635,0.4464993394980185
XGBoost,0.4,475,16.772598870056495,0.40456769983686786,0.5221052631578947
XGBoost,0.5,243,8.58050847457627,0.2544861337683524,0.6419753086419753
