fold,model,auc,sensitivity,specificity,f1,brier
1,Logistic,0.8144045289348617,0.7123287671232876,0.7440476190476191,0.37749546279491836,0.17768907499682723
1,RandomForest,0.8155519056937842,0.3493150684931507,0.9285714285714286,0.36298932384341637,0.10598378548196245
1,XGBoost,0.8222381418320753,0.7534246575342466,0.7491496598639455,0.3992740471869328,0.16771771013736725
2,Logistic,0.8112477867859472,0.7123287671232876,0.7585034013605442,0.3895131086142322,0.17147104714431083
2,RandomForest,0.8073746621936447,0.3767123287671233,0.9285714285714286,0.38596491228070173,0.1052624702964876
2,XGBoost,0.8129659398005777,0.7054794520547946,0.7678571428571429,0.3946360153256705,0.16309569776058197
3,Logistic,0.8045683790757683,0.7517241379310344,0.7244897959183674,0.3771626297577855,0.186646691208445
3,RandomForest,0.798281726483697,0.4206896551724138,0.9090136054421769,0.38977635782747605,0.11075105640864318
3,XGBoost,0.8102568613652358,0.7448275862068966,0.7397959183673469,0.38640429338103754,0.17349492013454437
4,Logistic,0.7701266713581985,0.6482758620689655,0.7406462585034014,0.34558823529411764,0.1817232785353578
4,RandomForest,0.7844006568144498,0.33793103448275863,0.9124149659863946,0.32996632996632996,0.11238303615302689
4,XGBoost,0.7770994604738448,0.6413793103448275,0.7593537414965986,0.3570057581573896,0.17046169936656952
5,Logistic,0.7912503643252696,0.7123287671232876,0.7131914893617022,0.3543441226575809,0.1902046803480933
5,RandomForest,0.8001748761294083,0.4178082191780822,0.9097872340425532,0.38977635782747605,0.11252421982279717
5,XGBoost,0.8043544156222675,0.7054794520547946,0.7148936170212766,0.3527397260273973,0.1804201602935791
