feature,mean_abs_shap
r1shlt,0.38139084
r1arthre,0.2757687
ragender,0.2651357
r1walk1kma,0.17762932
hh1ahous,0.17596322
r1adla_c,0.16118133
r1orient,0.1510883
r1tr20,0.13991469
raeduc_c,0.102631874
r1ser7,0.07963249
r1gripsum,0.07731793
r1mbmi,0.07574924
r1agey,0.05686004
r1mstat_7.0,0.047279004
h1rural,0.04360358
r1lunge,0.027571648
r1hearte,0.023015723
r1socwk,0.010362639
r1smoken,0.005316679
r1work,0.004143055
r1drinkev,0.003928188
r1hibpe,0.0018397208
r1mstat_5.0,0.0017220058
r1mbmi_miss,0.0012640262
r1cancre,0.0008674954
r1mstat_3.0,0.00077065104
r1dyslipe,0.00070130045
r1walk100a,0.00066459965
r1gripsum_miss,0.0006361679
r1diabe,0.0005063935
r1stroke,0.00039736473
r1mstat_4.0,0.00017967996
r1mstat_8.0,0.0
