fold,model,auc,sensitivity,specificity,f1,brier
1,Logistic,0.7395954675420947,0.6842105263157895,0.66738894907909,0.557711950970378,0.20879411970334774
1,RandomForest,0.732068524507368,0.543859649122807,0.7735644637053087,0.526060606060606,0.1935534432528827
1,XGBoost,0.7390632594487302,0.6666666666666666,0.6847237269772481,0.5564853556485355,0.20574124157428741
2,Logistic,0.7169522776572668,0.655,0.6518438177874186,0.5330620549338759,0.21392458397289052
2,RandomForest,0.7009761388286333,0.5225,0.7668112798264642,0.5072815533980582,0.2002159583700481
2,XGBoost,0.7115536876355748,0.6625,0.6540130151843818,0.5386178861788617,0.21341073513031006
3,Logistic,0.7269774218626827,0.6441102756892231,0.6800433839479393,0.5404837013669821,0.21025055389635455
3,RandomForest,0.721793638108286,0.5513784461152882,0.7787418655097614,0.534629404617254,0.19536418060828886
3,XGBoost,0.7238486672211983,0.6190476190476191,0.6800433839479393,0.5249734325185972,0.20861190557479858
4,Logistic,0.7367714296587455,0.6691729323308271,0.6908893709327549,0.5615141955835962,0.20626292481494446
4,RandomForest,0.7273117718374026,0.5112781954887218,0.7982646420824295,0.5171102661596958,0.19425517518404897
4,XGBoost,0.7308754532752706,0.6340852130325815,0.6919739696312365,0.5405982905982906,0.20715345442295074
5,Logistic,0.7562751781840719,0.6992481203007519,0.675704989154013,0.5711361310133061,0.2015227213616137
5,RandomForest,0.763027416697927,0.5789473684210527,0.8004338394793926,0.5675675675675675,0.18544528176815775
5,XGBoost,0.7686298174938431,0.7192982456140351,0.693058568329718,0.5923632610939112,0.1992618292570114
