model,threshold,n_flagged,pct_flagged,sensitivity,ppv
Logistic,0.05,2789,98.4816384180791,0.9976608187134502,0.3058443886697741
Logistic,0.1,2571,90.78389830508475,0.9801169590643275,0.32594321275768184
Logistic,0.138,2347,82.87429378531074,0.9543859649122807,0.34767788666382615
Logistic,0.2,1903,67.19632768361582,0.8830409356725146,0.3967419863373621
Logistic,0.3,1281,45.233050847457626,0.7087719298245614,0.47306791569086654
Logistic,0.4,778,27.47175141242938,0.512280701754386,0.5629820051413882
Logistic,0.5,429,15.148305084745765,0.3368421052631579,0.6713286713286714
RandomForest,0.05,2832,100.0,1.0,0.3019067796610169
RandomForest,0.1,2630,92.86723163841808,0.9906432748538012,0.3220532319391635
RandomForest,0.138,2355,83.15677966101694,0.9578947368421052,0.34777070063694265
RandomForest,0.2,1856,65.5367231638418,0.8760233918128655,0.4035560344827586
RandomForest,0.3,1266,44.70338983050847,0.6994152046783626,0.47235387045813587
RandomForest,0.4,809,28.566384180790962,0.5228070175438596,0.5525339925834364
RandomForest,0.5,458,16.17231638418079,0.35555555555555557,0.6637554585152838
XGBoost,0.05,2830,99.92937853107344,1.0,0.30212014134275617
XGBoost,0.1,2581,91.13700564971752,0.9859649122807017,0.3266175900813638
XGBoost,0.138,2269,80.12005649717514,0.9485380116959065,0.35742617893345086
XGBoost,0.2,1848,65.2542372881356,0.8690058479532163,0.40205627705627706
XGBoost,0.3,1294,45.69209039548023,0.7181286549707603,0.47449768160741884
XGBoost,0.4,817,28.848870056497177,0.5356725146198831,0.5605875152998776
XGBoost,0.5,485,17.125706214689266,0.37894736842105264,0.668041237113402
