feature,mean_abs_shap
r1arthre,0.23632808
r1shlt,0.20664163
ragender,0.19423977
r1ser7,0.1369106
hh1ahous,0.12412178
r1gripsum,0.10711805
h1rural,0.103341505
r1tr20,0.100658245
r1walk1kma,0.08746874
raeduc_c,0.08487791
r1adla_c,0.06597768
r1mbmi,0.05162549
r1agey,0.047072195
r1socwk,0.041622125
r1orient,0.036502484
r1lunge,0.021553135
r1hearte,0.007826721
r1mstat_7.0,0.0049027167
r1diabe,0.004248695
r1hibpe,0.0027456093
r1smoken,0.0026822456
r1dyslipe,0.0017269009
r1mstat_3.0,0.0013111619
r1drinkev,0.0012994456
r1work,0.0008182806
r1mstat_4.0,0.0005900297
r1stroke,0.00056152587
r1gripsum_miss,0.0003396365
r1mbmi_miss,0.0002570772
r1mstat_8.0,0.000120939105
r1walk100a,9.4614734e-05
r1cancre,0.0
r1mstat_5.0,0.0
